id,age,sexe,ville,cp,freqDouche,tempsDouche,debitDouche,freqBain,rempBain,freqDents,eauDents,freqVaisselle,choixVaisselle,methVaisselle,couvVaisselle,freqMal,dateMal,ecoEau,plante,momentPlante,eauPlante,freqPlante,voiture,methVoiture,freqVoiture,piscine,freqPiscine,volumePiscine,etiquette,bouteille
556,28,femme,amiens,80000,7,5,fort,0,oui,1,oui,7,main,oui,16,8,ancien,0,non,matin,robinet,0,oui,manuel,2,non,non,0,non,robinet
557,18,homme,Albert,80300,7,3,moyen,0,oui,2,parfois,7,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,oui,automatique,1,non,non,0,oui,bouteille
558,21,femme,amiens,80000,7,5,fort,0,oui,2,oui,3,main,oui,20,10,ancien,100,oui,soir,pluie,8,oui,manuel,1,non,non,0,oui,bouteille
559,42,homme,amiens,80000,7,5,moyen,0,oui,1,oui,14,main,oui,16,4,ancien,100,non,matin,robinet,0,non,automatique,0,non,non,0,oui,robinet
560,30,femme,albert,80300,7,5,faible,0,oui,2,non,14,lave-vaisselle,non,0,30,recent,0,non,matin,robinet,0,oui,manuel,1,non,non,0,oui,robinet
561,34,homme,amiens,80000,7,3,moyen,0,oui,2,non,14,main,oui,16,4,recent,1,non,matin,robinet,0,oui,manuel,1,non,non,0,non,robinet
562,21,homme,amiens,80000,7,5,fort,0,oui,1,non,1,main,non,0,4,recent,100,non,matin,robinet,16,oui,manuel,2,non,non,0,non,robinet
563,28,homme,Albert,80300,7,10,moyen,0,oui,2,non,14,lave-vaisselle,non,0,10,recent,10,oui,soir,pluie,8,non,automatique,0,non,non,0,non,bouteille
564,36,homme,Bouzincourt,80300,14,10,moyen,0,oui,2,non,7,main,oui,20,4,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
565,31,femme,amiens,80000,7,15,fort,2,non,3,oui,2,main,oui,16,30,recent,0,oui,matin,pluie,30,oui,automatique,1,non,non,0,non,robinet
566,25,homme,peronne,80200,7,5,moyen,0,oui,1,non,7,lave-vaisselle,non,0,12,recent,100,non,matin,pluie,0,oui,manuel,1,non,non,0,non,robinet
567,39,femme,amiens,80000,7,10,moyen,3,oui,2,non,14,main,non,0,20,ancien,101,non,matin,robinet,0,oui,automatique,1,oui,oui,60,oui,robinet
568,42,homme,amiens,80000,7,10,moyen,0,oui,2,oui,3,main,non,0,8,recent,0,non,matin,robinet,0,oui,manuel,1,non,non,0,non,bouteille
569,36,homme,montreuil,93100,7,5,moyen,0,oui,2,non,3,main,non,0,4,recent,100,oui,soir,robinet,8,oui,manuel,8,non,non,0,non,bouteille
570,22,homme,amiens,80000,7,5,fort,0,oui,2,non,7,main,oui,20,6,recent,0,non,matin,robinet,0,oui,automatique,1,non,non,0,oui,robinet
571,48,homme,Bouzincourt,80300,7,10,moyen,1,non,2,non,14,lave-vaisselle,non,0,4,recent,1,non,matin,robinet,0,oui,automatique,1,non,non,0,non,robinet
572,51,homme,Albert,80300,7,5,moyen,0,oui,2,non,6,lave-vaisselle,non,0,12,ancien,0,non,matin,robinet,0,oui,automatique,1,non,non,0,non,robinet
573,36,femme,peronne,80200,7,15,faible,0,oui,1,non,7,main,oui,8,6,ancien,10,oui,matin,robinet,8,oui,automatique,2,non,non,0,oui,robinet
574,22,homme,amiens,80000,7,10,faible,0,oui,1,oui,14,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,oui,manuel,1,non,non,0,non,bouteille
575,48,homme,amiens,80000,14,3,moyen,0,oui,2,non,5,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
576,51,homme,amiens,80000,7,5,moyen,0,oui,1,oui,2,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
577,21,femme,amiens,80000,7,10,fort,0,oui,1,oui,14,main,oui,8,4,ancien,0,oui,matin,robinet,8,non,automatique,0,oui,non,50,non,robinet
578,28,homme,paris,75016,7,25,moyen,0,oui,2,non,7,main,oui,20,4,recent,100,non,matin,robinet,0,non,automatique,0,non,non,0,oui,bouteille
579,31,homme,"BRAY SUR SOMME",80340,7,10,moyen,0,oui,2,oui,3,main,oui,20,4,recent,110,oui,soir,pluie,6,oui,manuel,1,non,non,0,non,bouteille
580,25,femme,Bouzincourt,80300,9,15,moyen,0,oui,2,parfois,3,main,oui,6,4,recent,100,non,matin,robinet,0,oui,automatique,1,non,non,0,non,robinet
581,23,femme,paris,75017,7,25,moyen,0,oui,1,oui,14,lave-vaisselle,non,0,6,recent,100,non,matin,robinet,0,oui,manuel,2,non,non,0,non,robinet
582,22,homme,paris,75016,7,10,fort,0,oui,2,non,14,lave-vaisselle,non,0,30,recent,0,non,matin,robinet,0,non,automatique,0,oui,oui,45,oui,robinet
583,45,femme,peronne,80200,14,15,faible,0,oui,2,non,21,lave-vaisselle,non,0,4,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
584,31,homme,amiens,80000,7,10,faible,0,oui,3,non,14,main,oui,20,30,recent,0,oui,soir,pluie,8,non,automatique,0,non,non,0,non,robinet
585,21,homme,Albert,80300,7,10,moyen,0,oui,2,oui,9,main,non,0,12,recent,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
586,29,femme,SUZANNE,80340,7,15,moyen,2,non,2,oui,7,main,oui,20,20,recent,100,non,matin,robinet,0,non,automatique,0,non,non,0,non,bouteille
587,26,homme,paris,75011,7,15,fort,0,oui,2,parfois,3,main,oui,30,4,recent,10,oui,soir,pluie,16,oui,manuel,1,non,non,0,non,robinet
